Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #205,Natsume Yuujinchou Go Specials,8.33,"Genres: Slice of Life, Demons, Supernatural, Drama, Shoujo","Members 35,443",Type: Special,Episodes: 2,"Licensors: None found, add some",Studios: Shuka,Source: Manga,Duration: 23 min. per ep.,Null,Favorites: 53
Ranked #206,Neon Genesis Evangelion,8.33,"Genres: Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","Members 1,320,825",Type: TV,Episodes: 26,"Licensors: ADV Films, GKIDS, Netflix","Studios: Gainax, Tatsunoko Production",Source: Original,Duration: 24 min. per ep.,Premiered: Fall 1995,"Favorites: 74,984"
Ranked #207,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.33,"Genres: Comedy, Supernatural, Drama, Romance, School","Members 1,181,117",Type: TV,Episodes: 13,Licensors: Aniplex of America,Studios: CloverWorks,Source: Light novel,Duration: 24 min. per ep.,Premiered: Fall 2018,"Favorites: 34,097"
Ranked #208,Shinsekai yori,8.33,"Genres: Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural","Members 659,334",Type: TV,Episodes: 25,Licensors: Sentai Filmworks,Studios: A-1 Pictures,Source: Novel,Duration: 22 min. per ep.,Premiered: Fall 2012,"Favorites: 20,273"
Ranked #209,Shirobako,8.33,"Genres: Comedy, Drama","Members 375,591",Type: TV,Episodes: 24,Licensors: Sentai Filmworks,Studios: P.A. Works,Source: Original,Duration: 24 min. per ep.,Premiered: Fall 2014,"Favorites: 5,823"
Ranked #210,Wu Liuqi Zhi Xuanwu Guo Pian,8.33,"Genres: Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power","Members 9,622",Type: ONA,Episodes: 10,"Licensors: None found, add some","Studios: None found, add some",Source: Original,Duration: 16 min. per ep.,Null,Favorites: 92
Ranked #211,NHK ni Youkoso!,8.32,"Genres: Comedy, Psychological, Drama, Romance","Members 589,638",Type: TV,Episodes: 24,"Licensors: ADV Films, Funimation",Studios: Gonzo,Source: Novel,Duration: 24 min. per ep.,Premiered: Summer 2006,"Favorites: 21,336"
Ranked #212,Shelter,8.32,"Genres: Sci-Fi, Music","Members 285,338",Type: Music,Episodes: 1,Licensors: Crunchyroll,Studios: A-1 Pictures,Source: Music,Duration: 6 min.,Null,"Favorites: 2,265"
Ranked #213,Steins;Gate: Oukoubakko no Poriomania,8.32,"Genres: Sci-Fi, Comedy","Members 364,997",Type: Special,Episodes: 1,Licensors: Funimation,Studios: White Fox,Source: Visual novel,Duration: 24 min.,Null,Favorites: 707
Ranked #214,Dr. Stone,8.32,"Genres: Sci-Fi, Adventure, Comedy, Shounen","Members 1,187,278",Type: TV,Episodes: 24,"Licensors: Funimation, Crunchyroll",Studios: TMS Entertainment,Source: Manga,Duration: 24 min. per ep.,Premiered: Summer 2019,"Favorites: 19,539"
Ranked #215,Fate/Zero,8.32,"Genres: Action, Supernatural, Magic, Fantasy","Members 1,209,908",Type: TV,Episodes: 13,Licensors: Aniplex of America,Studios: ufotable,Source: Light novel,Duration: 28 min. per ep.,Premiered: Fall 2011,"Favorites: 29,677"
Ranked #216,Great Pretender,8.32,"Genres: Action, Adventure, Mystery, Comedy, Psychological","Members 401,339",Type: TV,Episodes: 23,"Licensors: None found, add some",Studios: Wit Studio,Source: Original,Duration: 23 min. per ep.,Premiered: Summer 2020,"Favorites: 6,254"
Ranked #217,Hunter x Hunter: Original Video Animation,8.32,"Genres: Action, Adventure, Super Power, Shounen","Members 107,828",Type: OVA,Episodes: 8,"Licensors: None found, add some",Studios: Nippon Animation,Source: Manga,Duration: 24 min. per ep.,Null,Favorites: 331
Ranked #218,Kino no Tabi: The Beautiful World,8.32,"Genres: Action, Adventure, Psychological, Slice of Life","Members 244,720",Type: TV,Episodes: 13,"Licensors: ADV Films, Sentai Filmworks",Studios: A.C.G.T.,Source: Light novel,Duration: 24 min. per ep.,Premiered: Spring 2003,"Favorites: 5,685"
Ranked #219,Kuroko no Basket 3rd Season,8.32,"Genres: Comedy, Sports, School, Shounen","Members 575,746",Type: TV,Episodes: 25,"Licensors: None found, add some",Studios: Production I.G,Source: Manga,Duration: 24 min. per ep.,Premiered: Winter 2015,"Favorites: 4,241"
Ranked #220,Beck,8.31,"Genres: Comedy, Drama, Music, Shounen, Slice of Life","Members 276,752",Type: TV,Episodes: 26,Licensors: Funimation,Studios: Madhouse,Source: Manga,Duration: 25 min. per ep.,Premiered: Fall 2004,"Favorites: 6,996"
Ranked #221,Diamond no Ace: Second Season,8.31,"Genres: Comedy, Sports, School, Shounen","Members 110,081",Type: TV,Episodes: 51,"Licensors: None found, add some","Studios: Production I.G, Madhouse",Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2015,Favorites: 900
Ranked #222,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,"Genres: Slice of Life, Drama, Fantasy","Members 217,686",Type: Special,Episodes: 1,"Licensors: None found, add some",Studios: Kyoto Animation,Source: Light novel,Duration: 34 min.,Null,Favorites: 485
Ranked #223,Nodame Cantabile,8.3,"Genres: Music, Slice of Life, Comedy, Drama, Romance, Josei","Members 274,697",Type: TV,Episodes: 23,"Licensors: None found, add some",Studios: J.C.Staff,Source: Manga,Duration: 22 min. per ep.,Premiered: Winter 2007,"Favorites: 4,689"
Ranked #224,Planetes,8.3,"Genres: Drama, Romance, Sci-Fi, Seinen, Space","Members 207,908",Type: TV,Episodes: 26,Licensors: Bandai Entertainment,Studios: Sunrise,Source: Manga,Duration: 25 min. per ep.,Premiered: Fall 2003,"Favorites: 3,468"
Ranked #225,Rurouni Kenshin: Meiji Kenkaku Romantan,8.3,"Genres: Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen","Members 412,490",Type: TV,Episodes: 94,"Licensors: Media Blasters, Aniplex of America","Studios: Gallop, Studio Deen",Source: Manga,Duration: 25 min. per ep.,Premiered: Winter 1996,"Favorites: 8,806"
Ranked #226,Stranger: Mukou Hadan,8.3,"Genres: Action, Adventure, Historical, Samurai","Members 278,458",Type: Movie,Episodes: 1,"Licensors: Funimation, Bandai Entertainment",Studios: Bones,Source: Original,Duration: 1 hr. 43 min.,Null,"Favorites: 2,623"
Ranked #227,Tsubasa: Tokyo Revelations,8.3,"Genres: Action, Adventure, Drama, Romance, Fantasy, Shounen","Members 84,974",Type: OVA,Episodes: 3,Licensors: Funimation,Studios: Production I.G,Source: Manga,Duration: 30 min. per ep.,Null,Favorites: 795
Ranked #228,Bakemono no Ko,8.3,"Genres: Adventure, Supernatural","Members 336,036",Type: Movie,Episodes: 1,Licensors: Funimation,Studios: Studio Chizu,Source: Original,Duration: 1 hr. 59 min.,Null,"Favorites: 2,640"
Ranked #229,Detective Conan Movie 06: The Phantom of Baker Street,8.3,"Genres: Adventure, Mystery, Police, Shounen","Members 63,387",Type: Movie,Episodes: 1,Licensors: Funimation,Studios: TMS Entertainment,Source: Manga,Duration: 1 hr. 47 min.,Null,Favorites: 189
Ranked #230,Kawaki wo Ameku,8.3,Genres: Music,"Members 20,238",Type: Music,Episodes: 1,"Licensors: None found, add some","Studios: None found, add some",Source: Music,Duration: 4 min.,Null,Favorites: 181
Ranked #231,Kono Subarashii Sekai ni Shukufuku wo! 2,8.3,"Genres: Adventure, Comedy, Parody, Supernatural, Fantasy","Members 1,138,724",Type: TV,Episodes: 10,Licensors: Discotek Media,Studios: Studio Deen,Source: Light novel,Duration: 23 min. per ep.,Premiered: Winter 2017,"Favorites: 10,307"
Ranked #232,Hibike! Euphonium 2,8.29,"Genres: Music, Drama, School","Members 179,864",Type: TV,Episodes: 13,Licensors: Ponycan USA,Studios: Kyoto Animation,Source: Novel,Duration: 23 min. per ep.,Premiered: Fall 2016,"Favorites: 2,698"
Ranked #233,Initial D First Stage,8.29,"Genres: Action, Cars, Drama, Seinen, Sports","Members 261,137",Type: TV,Episodes: 26,"Licensors: Funimation, Tokyopop","Studios: Gallop, Studio Comet",Source: Manga,Duration: 25 min. per ep.,Premiered: Spring 1998,"Favorites: 7,589"
Ranked #234,Koukaku Kidoutai,8.29,"Genres: Action, Mecha, Police, Psychological, Sci-Fi, Seinen","Members 502,185",Type: Movie,Episodes: 1,Licensors: Manga Entertainment,Studios: Production I.G,Source: Manga,Duration: 1 hr. 22 min.,Null,"Favorites: 10,009"
Ranked #235,Redline,8.29,"Genres: Action, Sci-Fi, Cars, Sports","Members 288,743",Type: Movie,Episodes: 1,Licensors: Anchor Bay Films,Studios: Madhouse,Source: Original,Duration: 1 hr. 42 min.,Null,"Favorites: 4,153"
Ranked #236,Tokyo Godfathers,8.29,"Genres: Comedy, Drama","Members 217,555",Type: Movie,Episodes: 1,"Licensors: Sony Pictures Entertainment, GKIDS",Studios: Madhouse,Source: Original,Duration: 1 hr. 32 min.,Null,"Favorites: 1,723"
Ranked #237,Quanzhi Gaoshou Specials,8.28,"Genres: Action, Game","Members 86,226",Type: ONA,Episodes: 3,"Licensors: None found, add some","Studios: Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation",Source: Novel,Duration: 27 min. per ep.,Null,Favorites: 318
Ranked #238,Stand By Me Doraemon 2,8.28,"Genres: Comedy, Kids, Sci-Fi, Seinen","Members 7,989",Type: Movie,Episodes: 1,"Licensors: None found, add some","Studios: Shirogumi, Shin-Ei Animation",Source: Manga,Duration: 1 hr. 35 min.,Null,Favorites: 51
Ranked #239,Tenkuu no Shiro Laputa,8.28,"Genres: Adventure, Fantasy, Romance, Sci-Fi","Members 371,840",Type: Movie,Episodes: 1,"Licensors: Walt Disney Studios, GKIDS",Studios: Studio Ghibli,Source: Original,Duration: 2 hr. 4 min.,Null,"Favorites: 3,128"
Ranked #240,Tonari no Totoro,8.28,"Genres: Adventure, Comedy, Supernatural","Members 811,895",Type: Movie,Episodes: 1,"Licensors: Walt Disney Studios, GKIDS",Studios: Studio Ghibli,Source: Original,Duration: 1 hr. 26 min.,Null,"Favorites: 6,200"
Ranked #241,Ashita no Joe,8.28,"Genres: Action, Drama, Shounen, Slice of Life, Sports","Members 64,651",Type: TV,Episodes: 79,"Licensors: None found, add some",Studios: Mushi Production,Source: Manga,Duration: 25 min. per ep.,Premiered: Spring 1970,"Favorites: 1,440"
Ranked #242,Gin no Saji 2nd Season,8.28,"Genres: Comedy, School, Shounen, Slice of Life","Members 126,564",Type: TV,Episodes: 11,Licensors: Aniplex of America,Studios: A-1 Pictures,Source: Manga,Duration: 24 min. per ep.,Premiered: Winter 2014,Favorites: 593
Ranked #243,Gintama: Shinyaku Benizakura-hen,8.28,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 34,566",Type: Special,Episodes: 1,"Licensors: None found, add some",Studios: Sunrise,Source: Manga,Duration: 11 min.,Null,Favorites: 41
Ranked #244,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"Genres: Game, Psychological, Thriller, Seinen","Members 269,695",Type: TV,Episodes: 26,Licensors: Sentai Filmworks,Studios: Madhouse,Source: Manga,Duration: 23 min. per ep.,Premiered: Fall 2007,"Favorites: 7,893"
Ranked #245,Hajime no Ippo: Champion Road,8.28,"Genres: Comedy, Shounen, Sports","Members 104,637",Type: Special,Episodes: 1,"Licensors: Discotek Media, Geneon Entertainment USA",Studios: Madhouse,Source: Manga,Duration: 1 hr. 30 min.,Null,Favorites: 174
Ranked #246,Hunter x Hunter: Greed Island Final,8.28,"Genres: Action, Adventure, Super Power, Fantasy, Shounen","Members 119,574",Type: OVA,Episodes: 14,"Licensors: None found, add some",Studios: Nippon Animation,Source: Manga,Duration: 24 min. per ep.,Null,Favorites: 214
Ranked #247,Douluo Dalu: Hanhai Qian Kun,8.27,"Genres: Action, Adventure, Historical, Romance, Martial Arts, Fantasy","Members 2,407",Type: ONA,Episodes: 13,"Licensors: None found, add some",Studios: Sparkly Key Animation Studio,Source: Novel,Duration: 21 min. per ep.,Null,Favorites: 11
Ranked #248,No Game No Life: Zero,8.27,"Genres: Game, Supernatural, Drama, Romance, Fantasy","Members 678,375",Type: Movie,Episodes: 1,Licensors: Sentai Filmworks,Studios: Madhouse,Source: Light novel,Duration: 1 hr. 46 min.,Null,"Favorites: 6,626"
Ranked #249,Re:Zero kara Hajimeru Isekai Seikatsu,8.27,"Genres: Psychological, Drama, Thriller, Fantasy","Members 1,694,335",Type: TV,Episodes: 25,Licensors: Funimation,Studios: White Fox,Source: Light novel,Duration: 25 min. per ep.,Premiered: Spring 2016,"Favorites: 54,405"
Ranked #250,Tokyo Revengers,8.27,"Genres: Action, Drama, School, Shounen, Supernatural","Members 459,280",Type: TV,Episodes: Unknown,"Licensors: None found, add some",Studios: LIDENFILMS,Source: Manga,Duration: 23 min.,Premiered: Spring 2021,"Favorites: 7,206"
